Name,U87,U87,U251,U251,hG008,hG008,hG020,hG020,SF126
TMLHE,3.508656828781452,3.5554726153431715,4.282239622742116,4.070312038586797,4.235880204049326,3.986128740170443,4.587286972872178,4.406407415048065,3.8569657766697483
ENST00000447347.1,0.0,0.0,0.0,0.3630824657230018,0.23528836484440926,0.0,0.7049657808380215,0.34188558030869964,0.344581968199796
TMLHE-AS1,0.2407869063006295,0.0,0.39987982312939685,0.180840392269507,0.0,0.11131982254686752,0.4000361779303597,0.09066512275312932,0.15561454031855143
ENST00000453508.1,1.3147023254236878,1.5126668350915797,0.9966396595539,0.37113170589296085,1.0248799091884204,0.43947101496334456,1.3047271378376297,0.5706222501659582,0.0
ENST00000412436.1,0.3369254585214681,0.327240116873258,0.0,0.0,0.34795133265167544,0.0,0.0,0.0,0.2925190959373571
CLIC2,1.794973080921655,2.213897811767787,1.3010900797622869,1.5963531777683333,1.384165881036905,1.4537967410214963,2.9389425250582546,2.178501128816349,3.614026610419595
VBP1,6.738308478739408,6.535090264249604,7.478607850626225,7.305897582080916,7.292478088852072,6.973542399191687,6.779075825453729,6.653094421186574,5.854516858795016
CMC4,5.281082469918423,5.207190069274157,5.564183031779065,5.545427874823704,4.368740416679742,4.088446932744018,4.715042214906866,4.478473568704013,5.431439101317875
ENST00000504061.1,2.5950500616411953,1.4682287901154512,0.0,0.0,0.0,0.743498595727348,0.6445079098764801,1.0959244199985356,0.9589013096315039
H2AB1,0.8128062412136554,0.5363274836470907,0.18415458878103907,0.0,0.2158127656666141,0.20820883594850975,0.0,0.0,0.577228196387916
F8,3.52823373374354,3.5515283220108604,2.12475492429973,1.982429615921261,2.608527771432984,2.3191034199538314,2.81615730779774,2.5046839458513235,4.539239475672405
SNORA36A,2.536542835873187,2.5745762716556975,0.0,0.0,0.0,0.0,2.1527285866043804,3.387919437157383,0.0
IKBKGP1,0.0,0.0,0.0,0.0,0.0,1.2762941679151465,1.4371424959195387,1.1658476391165897,2.9244666903149716
IKBKG,6.225523662249671,6.261732011288292,5.57283208070448,5.699087945654717,4.64169052255661,4.643244357359748,4.525818322034024,4.515680917569272,5.164380020571696
G6PD,7.148923938939221,7.172587521405107,8.021074356664185,7.872527140734025,5.213180059409701,5.038967261170495,5.634314459856448,5.566949068854184,7.596607219885334
SLC10A3,5.5658743562541755,5.613024734730529,5.559418391741835,5.764176276355928,2.7933777923235357,2.7304421491384336,4.330429326112221,4.035799837423261,5.927628648750059
UBL4A,5.648850800518695,5.606027601015407,5.889305607727323,6.134598817215524,5.625933812901498,5.622347651456629,5.706251490316313,5.504442427854214,5.718482188207624
FAM50A,7.4182489906178795,7.384144808728498,7.249871942549956,7.39395669796731,6.595224654401074,6.551352974647444,6.564879610012774,6.491668740184779,7.017476563020462
ATP6AP1,6.55945204370963,6.6577343145981995,7.451664459037207,7.3528379586369566,7.013875356359128,7.055683730936464,6.994772040566456,6.846706419930117,6.943886172737261
ENST00000360656.2,3.2931041113876547,3.26595290930313,2.71419495375385,2.4885150089578123,2.203883964348553,1.834707171237685,3.1207500533349255,3.1987597233797755,3.755314904045098
TAZ,4.183176821857209,4.585869910924846,4.435775256148411,4.667210912480871,5.5732684776759776,5.651510983646778,5.694114079891677,5.6640931007768165,4.812498225333564
RPL10,11.378386986011808,11.312049081594768,11.646023112587821,11.713605609220302,11.85053848101081,11.917032625768282,11.384427618359885,11.171858569576376,11.265779112951792
EMD,7.101524019646098,7.151747217806749,7.242230924096232,7.352352462786875,7.639369652713802,7.502982926162635,7.011339087913592,6.911368017633266,6.673005132282977
MECP2,5.096991282290636,5.330888203145605,5.708529380192418,5.838974450657903,6.180297073058138,6.205965238689242,5.588396832946436,5.321599844425655,4.966135105437954
IRAK1,8.060241978689575,8.07895667679561,8.055439713229386,8.394411245429968,6.703792858785754,6.59353753256784,6.620853225714074,6.593707827288017,6.28899892054222
